,Unnamed: 0,Unnamed: 0.1,link,jobtitle,jobcompany,joblocation,jobsalary,text
0,0,0,https://www.indeed.com/viewjob?jk=738fe6188daacd19&fccid=de71a49b535e21cb&vjs=3,Data Scientist Internship - Summer 2019,IBM,United States,"$114,000 - $168,000 a year (Indeed est.)","You will implement and validate predictive models, and create and maintain statistical models with a focus on big data.You’ll communicate with internal and external clients to understand business needs and provide analytical solutions.You will use statistical concepts such as regression, time series, mixed model, Bayesian methods, clustering, etc., to analyze data and provide insights.You’ll work in an Agile, collaborative environment, partnering with other scientists, engineers, and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors.You are great at solving problems; debugging; troubleshooting; and designing & implementing solutions to complex technical issues.You thrive on teamwork and have excellent verbal and written communication skills.You have strong technical and analytical abilities, a knack for driving impact and growth, and some experience with programming/scripting in a language such as Java or Python.You have a basic understanding of statistical programming in a language such as R, SAS, or Python.Must have basic knowledge of statistical concepts such as regression, time series, mixed model, Bayesian methods, clustering, etc., to analyze data and provide insights.Must be enrolled or accepted into an accredited post-bachelor degree program.Advanced knowledge of statistical concepts such as regression, time series, mixed model, Bayesian methods, clustering, etc., to analyze data and provide insights."
1,1,1,https://www.indeed.com/viewjob?jk=1a641a483eba51e9&fccid=fe2d21eef233e94a&vjs=3,Associate Data Scientist,Amazon.com,Work at Home,"$114,000 - $168,000 a year (Indeed est.)","Basic experience in predictive modeling, data science and analysisExperience using Python and/or RKnowledge of SparkMLGood skills with programming languages, such as Java or C/C++Exposure to Dev Ops practices and practical Linux and Windows-based systems administration skills in a Cloud or Virtualized environment.Strong scripting skills, i.e., Powershell, Python, Bash, Ruby, Perl, etc.Experience using ML libraries, such as scikit-learn, caret, mlr, mllibExperience handling terabyte size datasetsTrack record of diving into data to discover hidden patternsFamiliarity with using data visualization toolsKnowledge and experience of writing and tuning SQLExperience giving data presentationsExtended travel to customer locations may be required to deliver professional services, as neededCombination of deep technical skills and business savvy enough to interface with all levels and disciplines within our customer’s organizationAbility to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relationsConsulting experience and track record of helping customers with their AI needsExperience with AWS technologies like Redshift, S3, EC2, Data Pipeline, & EMRExperience with management of continuous integration servers like Jenkins, Bamboo and TeamCity.Experience with automated testing tools (ie. Selenium, JMeter).Understanding and experience with code deployment (tagging).Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment"
2,2,2,https://www.indeed.com/viewjob?jk=8603e6f33f1c3ca1&fccid=f766f8bfbc3effb7&vjs=3,Data Scientist - Uber for Business (NYC),Uber,"New York, NY 10018 (Clinton area)","$103,000 - $153,000 a year (Indeed est.)","Building a predictive model to identify and differentiate business trips from personal tripsBuilding conversion propensity models to nudge the correct users to adopt our Business class productsOptimize and measure the business traveller experience2 Minimum Years of Experience with SQL, R/Python, Statistics, Machine Learning2+ years experience in quantitative analytical roles, preferably product relatedQuantitative background in Statistics, Computer Science, Math, Economics, Physics or another technical field. Graduate degrees preferred.Highly analytical and able to extract key insights from data then communicate them clearly and effectively to stakeholders.Ability to work in high growth, ambiguous environment.Advanced knowledge of experimentation and statistical methods."
3,3,3,https://www.indeed.com/viewjob?jk=e954b433367813e5&fccid=5acb3ef7d5f88321&vjs=3,Data Scientist Summer Internship 2019,Uber,"Chicago, IL","$31,000 - $46,000 a year (Indeed est.)","Utilize open source analysis tools such as R or Python to analyze digital services data.Interact with distributed computing platforms via open source toolsWork with analytics, marketing, and product organizations to validate topic modeling outputs.Transform analysis into insights through concise presentations and descriptive visualizations.Implement repeatable research coding methodologies such as Rmarkdown.Distribute periodic reports for leadership, marketing and product developmentApprise management and cross-functional team members of potential difficulties and threats derived from text analysis"
4,4,4,https://www.indeed.com/viewjob?jk=1486f8bbb9d68d93&fccid=734cb5a01ee60f80&vjs=3,Full-time opportunities for students & recent graduates: Data & Applied Sciences,Microsoft,United States,"$111,000 - $164,000 a year (Indeed est.)","Do you want to work on a meaningful and impactful project and make a difference?Are you willing to learn from others and open to new ideas?Do you want to support others to succeed and operate in a highly-collaborative and global environment?If this sounds like you, Microsoft would like to invite you to come join us as you are, where you can find more than just a job.A bachelor’s or master’s in Computer Science, Mathematics, Economics, Statistics, Applied Sciences like Biostatistics, Physics, Chemistry, Computational Neurology and or other quant-focused field (within 12 months of graduation).Some Engineering experience and or project course work using large data systems on SQL, Hadoop, etc.Proficiency using one or more programming or scripting language to work with data such as: Python, Perl, or C#.Some experience and or project course work performing data analysis and applying statistics working with tools such as: Excel, R, MATLAB, AMPL, or SAS.Some experience and or project course work with product and service telemetry systems.Some A/B Testing or experimentation (this can be from conducting real life science experiments, hypothesis testing in stats etc.) Not required but ideal.Some experience or course work applying basic ML to a type of data and or used algorithms to conduct experiments on data. Machine Learning strongly encouraged.Passion to learn from your peers, manager, and other stakeholders in the Data Science domain.Ability to interact with peers and stakeholders to drive product and business impact.Strong interpersonal and communications skills."
5,5,5,https://www.indeed.com/viewjob?jk=bffa99fb384b7f70&fccid=fe2d21eef233e94a&vjs=3,Data Scientist,Amazon.com,Work at Home,"$111,000 - $164,000 a year (Indeed est.)","Understand the customer’s business need and guide them to a solution using our AWS AI Services, AWS AI Platforms, AWS AI Frameworks, and AWS AI EC2 Instances .Assist customers by being able to deliver a ML / DL project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models to deliver business impact to the organization.Use Deep Learning frameworks like MXNet, Caffe 2, Tensorflow, Theano, CNTK, and Keras to help our customers build DL models.Use SparkML and Amazon Machine Learning (AML) to help our customers build ML models.Work with our Professional Services Big Data consultants to analyze, extract, normalize, and label relevant data.Work with our Professional Services DevOps consultants to help our customers operationalize models after they are built.Assist customers with identifying model drift and retraining models.Research and implement novel ML and DL approaches, including using FPGA.A Bachelor or Masters Degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent experience5+ years of industry experience in predictive modeling, data science and analysisPrevious experience in a ML or data scientist role and a track record of building ML or DL modelsExperience using Python and/or RKnowledge of SparkMLAble to write production level code, which is well-written and explainableExperience using ML libraries, such as scikit-learn, caret, mlr, mllibExperience working with GPUs to develop modelsExperience handling terabyte size datasetsTrack record of diving into data to discover hidden patternsFamiliarity with using data visualization toolsKnowledge and experience of writing and tuning SQLPast and current experience writing and speaking about complex technical concepts to broad audiences in a simplified formatExperience giving data presentationsExtended travel to customer locations may be required to deliver professional services, as neededStrong written and verbal communication skillsPhD in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.)8+ years of industry experience in predictive modeling and analysisGood skills with programming languages, such as Java or C/C++Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relationsConsulting experience and track record of helping customers with their AI needsPublications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferencesExperience with AWS technologies like Redshift, S3, EC2, Data Pipeline, & EMRCombination of deep technical skills and business savvy enough to interface with all levels and disciplines within our customer’s organizationDemonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment"
6,6,6,https://www.indeed.com/company/vysystems/jobs/Data-Scientist-646eba56407f012e?fccid=f113a27bdecb0c1b&vjs=3,Data Scientist,Amazon.com,"Santa Clara, CA",$50 - $60 an hour,Natural Language Processing: 6 years (Required)LikelyYes
7,7,7,https://www.indeed.com/viewjob?jk=ec6558d185c66bbf&fccid=d49acb145db6d758&vjs=3,Data Scientist,Amazon.com,"Baton Rouge, LA 70802","$107,000 - $157,000 a year (Indeed est.)","Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.Assess the effectiveness and accuracy of new data sources and data gathering techniques.Develop custom data models and algorithms to apply to data sets.Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.Develop company A/B testing framework and test model quality.Coordinate with different functional teams to implement models and monitor outcomes.Develop processes and tools to monitor and analyze model performance and data accuracy.Strong problem solving skills with an emphasis on product development.Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.Experience working with and creating data architectures.Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.Excellent written and verbal communication skills for coordinating across teams.A drive to learn and master new technologies and techniques.We’re looking for someone with 5-7 years of experience manipulating data sets and building statistical models, has a Master’s or PHD in Statistics, Mathematics, Computer Science or another quantitative field, and is familiar with the following software/tools:Coding knowledge and experience with several languages: C, C , Java,JavaScript, etc.Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.Experience using web services: Redshift, S3, Spark, DigitalOcean, etc.Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.Coding knowledge and experience with several languages: C, C , Java,JavaScript, etc.Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.Experience using web services: Redshift, S3, Spark, DigitalOcean, etc.Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc."
8,8,8,https://www.indeed.com/viewjob?jk=2cc5a254d5253c31&fccid=de71a49b535e21cb&vjs=3,Senior Data Scientist Internship - Summer 2019,IBM,United States,"$107,000 - $157,000 a year (Indeed est.)","You will implement and validate predictive models, and create and maintain statistical models with a focus on big data.You’ll communicate with internal and external clients to understand business needs and provide analytical solutions.You will use statistical concepts such as regression, time series, mixed model, Bayesian methods, clustering, etc., to analyze data and provide insights.You’ll work in an Agile, collaborative environment, partnering with other scientists, engineers, and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors.You are great at solving problems; debugging; troubleshooting; and designing & implementing solutions to complex technical issues.You thrive on teamwork and have excellent verbal and written communication skills.You have strong technical and analytical abilities, a knack for driving impact and growth, and some experience with programming/scripting in a language such as Java or Python.You have a basic understanding of statistical programming in a language such as R, SAS, or Python.Must have basic knowledge of statistical concepts such as regression, time series, mixed model, Bayesian methods, clustering, etc., to analyze data and provide insights.Must be enrolled or accepted into an accredited post-bachelor degree program.Advanced knowledge of statistical concepts such as regression, time series, mixed model, Bayesian methods, clustering, etc., to analyze data and provide insights."
9,9,9,https://www.indeed.com/viewjob?jk=21091c4562d65586&fccid=dd616958bd9ddc12&vjs=3,Data Scientist - Entry Level,Numerdox,"Sacramento, CA",,"Ability to do statistical modeling, build predictive models and leverage machine learning algorithms.This position will combine the typical Data Scientist math and analytical skills, with research, advanced business, communication, and presentation skills.Primary job location is in Sacramento, but work-from-home option is available.Bachelors, MS or PhD in a relevant field (Computer Science, Engineering, Statistics, Physics, Applied Math)Experience in R and/or Python is preferred"
